name,gmaps_link,opening_hour,address,opening_day,location,schedule
Pasar Malam Gong Badak,https://www.google.com/maps/place/Pasar+Malam+Gong+Badak/data=!4m7!3m6!1s0x31b7bb50044f8bb7:0xae2321b40058558e!8m2!3d5.3905878!4d103.0804389!16s%2Fg%2F11pv6y4gn7!19sChIJt4tPBFC7tzERjlVYALQhI64?authuser=0&hl=en&rclk=1,8:35 pm-1:25 am,"93rj+65, Kawasan Perindustrian Gong Badak, 21300 Kuala Terengganu, Terengganu","[""mon"", ""tue"", ""wed"", ""thu"", ""fri"", ""sat"", ""sun""]","{""latitude"": 5.3905878, ""longitude"": 103.08043889999999, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Gong+Badak/data=!4m7!3m6!1s0x31b7bb50044f8bb7:0xae2321b40058558e!8m2!3d5.3905878!4d103.0804389!16s%2Fg%2F11pv6y4gn7!19sChIJt4tPBFC7tzERjlVYALQhI64?authuser=0&hl=en&rclk=1""}","[{""days"": [""mon"", ""tue"", ""wed"", ""thu"", ""fri""], ""times"": [{""start"": ""20:35"", ""end"": ""01:25""}]}, {""days"": [""sat""], ""times"": [{""start"": ""09:40"", ""end"": ""03:50""}]}, {""days"": [""sun""], ""times"": [{""start"": ""09:40"", ""end"": ""22:10""}]}]"
Pulau Duyong Night Market,https://www.google.com/maps/place/Pulau+Duyong+Night+Market/data=!4m7!3m6!1s0x31b7be869ff09843:0x1258a11b7f5b6fa9!8m2!3d5.3295885!4d103.1222531!16s%2Fg%2F11cnccm524!19sChIJQ5jwn4a-tzERqW9bfxuhWBI?authuser=0&hl=en&rclk=1,,"Pulau Duyung Besar, 21200 Kuala Terengganu, Terengganu","[""mon"", ""tue"", ""wed"", ""thu"", ""fri"", ""sat"", ""sun""]","{""latitude"": 5.3295885, ""longitude"": 103.1222531, ""gmaps_link"": ""https://www.google.com/maps/place/Pulau+Duyong+Night+Market/data=!4m7!3m6!1s0x31b7be869ff09843:0x1258a11b7f5b6fa9!8m2!3d5.3295885!4d103.1222531!16s%2Fg%2F11cnccm524!19sChIJQ5jwn4a-tzERqW9bfxuhWBI?authuser=0&hl=en&rclk=1""}",[]
"Pasarnita Tanjung, Kuala Terengganu","https://www.google.com/maps/place/Pasarnita+Tanjung,+Kuala+Terengganu/data=!4m7!3m6!1s0x31b7bddf45ca3e55:0x9e39c186960034c4!8m2!3d5.3363875!4d103.1459989!16s%2Fg%2F11c6fv_6ky!19sChIJVT7KRd-9tzERxDQAlobBOZ4?authuser=0&hl=en&rclk=1",6 pm-1 am,"Tapak Pasar Malam Tanjung, 149, Jalan Sultan Zainal Abidin, Kampung Tanjung Paya, 20000 Kuala Terengganu, Terengganu","[""mon"", ""tue"", ""wed"", ""thu"", ""fri"", ""sat"", ""sun""]","{""latitude"": 5.3363875, ""longitude"": 103.1459989, ""gmaps_link"": ""https://www.google.com/maps/place/Pasarnita+Tanjung,+Kuala+Terengganu/data=!4m7!3m6!1s0x31b7bddf45ca3e55:0x9e39c186960034c4!8m2!3d5.3363875!4d103.1459989!16s%2Fg%2F11c6fv_6ky!19sChIJVT7KRd-9tzERxDQAlobBOZ4?authuser=0&hl=en&rclk=1""}","[{""days"": [""mon"", ""tue"", ""wed"", ""thu"", ""fri"", ""sat"", ""sun""], ""times"": [{""start"": ""18:00"", ""end"": ""01:00""}]}]"
KT Walk Uptown Market,https://www.google.com/maps/place/KT+Walk+Uptown+Market/data=!4m7!3m6!1s0x31b7be7a2b80cce5:0xc28d9185f1779429!8m2!3d5.3295844!4d103.1374202!16s%2Fg%2F11cmtwz52y!19sChIJ5cyAK3q-tzERKZR38YWRjcI?authuser=0&hl=en&rclk=1,3 pm-12 am,"Jalan Sultan Ismail, 20200 Kuala Terengganu, Terengganu","[""fri""]","{""latitude"": 5.3295844, ""longitude"": 103.1374202, ""gmaps_link"": ""https://www.google.com/maps/place/KT+Walk+Uptown+Market/data=!4m7!3m6!1s0x31b7be7a2b80cce5:0xc28d9185f1779429!8m2!3d5.3295844!4d103.1374202!16s%2Fg%2F11cmtwz52y!19sChIJ5cyAK3q-tzERKZR38YWRjcI?authuser=0&hl=en&rclk=1""}","[{""days"": [""fri""], ""times"": [{""start"": ""15:00"", ""end"": ""00:00""}]}]"
Pasar Malam Wakaf Tengah,https://www.google.com/maps/place/Pasar+Malam+Wakaf+Tengah/data=!4m7!3m6!1s0x31b7a5f1f7aa03e7:0x4a997c18caf42066!8m2!3d5.4276862!4d103.0571078!16s%2Fg%2F11mbsf0h0d!19sChIJ5wOq9_GltzERZiD0yhh8mUo?authuser=0&hl=en&rclk=1,4:30-8 pm,"Simpang 4, Wakaf Tengah, Kampung Wakaf Tengah, Kuala Terengganu, 6614, Kampung Mengabang Telung, 21030 Kuala Terengganu, Terengganu","[""wed"", ""sun""]","{""latitude"": 5.4276862, ""longitude"": 103.0571078, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Wakaf+Tengah/data=!4m7!3m6!1s0x31b7a5f1f7aa03e7:0x4a997c18caf42066!8m2!3d5.4276862!4d103.0571078!16s%2Fg%2F11mbsf0h0d!19sChIJ5wOq9_GltzERZiD0yhh8mUo?authuser=0&hl=en&rclk=1""}","[{""days"": [""wed"", ""sun""], ""times"": [{""start"": ""16:30"", ""end"": ""20:00""}]}]"
Pasar Malam Tok Adis,https://www.google.com/maps/place/Pasar+Malam+Tok+Adis/data=!4m7!3m6!1s0x31b7bf2291809b81:0xe0741db8f3883bee!8m2!3d5.2812091!4d103.1618568!16s%2Fg%2F11fm705rb5!19sChIJgZuAkSK_tzER7juI87gddOA?authuser=0&hl=en&rclk=1,4-8 pm,"Jln Tok Adis, 20400 Kuala Terengganu, Terengganu","[""wed""]","{""latitude"": 5.2812091, ""longitude"": 103.1618568, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Tok+Adis/data=!4m7!3m6!1s0x31b7bf2291809b81:0xe0741db8f3883bee!8m2!3d5.2812091!4d103.1618568!16s%2Fg%2F11fm705rb5!19sChIJgZuAkSK_tzER7juI87gddOA?authuser=0&hl=en&rclk=1""}","[{""days"": [""wed""], ""times"": [{""start"": ""16:00"", ""end"": ""20:00""}]}]"
Pasar Malam Kampung Baru Seberang Takir,https://www.google.com/maps/place/Pasar+Malam+Kampung+Baru+Seberang+Takir/data=!4m7!3m6!1s0x31b7bd5925de8ba5:0xd1a3739d5266b519!8m2!3d5.3595343!4d103.1272352!16s%2Fg%2F11h985c05m!19sChIJpYveJVm9tzERGbVmUp1zo9E?authuser=0&hl=en&rclk=1,4-8 pm,"Lot 12785, Kampung Baru Seberang Takir, 21300 Kuala Terengganu, Terengganu","[""wed""]","{""latitude"": 5.3595343, ""longitude"": 103.1272352, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Kampung+Baru+Seberang+Takir/data=!4m7!3m6!1s0x31b7bd5925de8ba5:0xd1a3739d5266b519!8m2!3d5.3595343!4d103.1272352!16s%2Fg%2F11h985c05m!19sChIJpYveJVm9tzERGbVmUp1zo9E?authuser=0&hl=en&rclk=1""}","[{""days"": [""wed""], ""times"": [{""start"": ""16:00"", ""end"": ""20:00""}]}]"
Pasar Malam Nibong Stesen,https://www.google.com/maps/place/Pasar+Malam+Nibong+Stesen/data=!4m7!3m6!1s0x31c805cb8c934ae1:0x4a20f25507394e5c!8m2!3d4.7746164!4d103.4069148!16s%2Fg%2F11h0b5g92r!19sChIJ4UqTjMsFyDERXE45B1XyIEo?authuser=0&hl=en&rclk=1,,"Kampung Nibung, 23000 Kuala Dungun, Terengganu","[""mon"", ""tue"", ""wed"", ""thu"", ""fri"", ""sat"", ""sun""]","{""latitude"": 4.7746164, ""longitude"": 103.4069148, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Nibong+Stesen/data=!4m7!3m6!1s0x31c805cb8c934ae1:0x4a20f25507394e5c!8m2!3d4.7746164!4d103.4069148!16s%2Fg%2F11h0b5g92r!19sChIJ4UqTjMsFyDERXE45B1XyIEo?authuser=0&hl=en&rclk=1""}",[]
Pasar Malam Kebor Besar(khamis),https://www.google.com/maps/place/Pasar+Malam+Kebor+Besar%28Khamis%29/data=!4m7!3m6!1s0x31b7b92134d13cad:0xad1566a3a3c4a3b7!8m2!3d5.307649!4d103.055993!16s%2Fg%2F11vkfc7zj6!19sChIJrTzRNCG5tzERt6PEo6NmFa0?authuser=0&hl=en&rclk=1,4-8 pm,"8354+39, Kampung Kebor Besar, 21200 Kuala Terengganu, Terengganu","[""thu""]","{""latitude"": 5.307649, ""longitude"": 103.055993, ""gmaps_link"": ""https://www.google.com/maps/place/Pasar+Malam+Kebor+Besar%28Khamis%29/data=!4m7!3m6!1s0x31b7b92134d13cad:0xad1566a3a3c4a3b7!8m2!3d5.307649!4d103.055993!16s%2Fg%2F11vkfc7zj6!19sChIJrTzRNCG5tzERt6PEo6NmFa0?authuser=0&hl=en&rclk=1""}","[{""days"": [""thu""], ""times"": [{""start"": ""16:00"", ""end"": ""20:00""}]}]"
Uptown Pulau Warisan,https://www.google.com/maps/place/Uptown+Pulau+Warisan/data=!4m7!3m6!1s0x31b7bffefd49a301:0x7d4f689a6bf54440!8m2!3d5.3323916!4d103.1315629!16s%2Fg%2F11v68cp027!19sChIJAaNJ_f6_tzERQET1a5poT30?authuser=0&hl=en&rclk=1,"12 am-12 pm, 5 pm-12 am","219, Jalan Kampung Cina, 20100 Kuala Terengganu, Terengganu","[""mon"", ""tue"", ""wed"", ""thu"", ""fri"", ""sat""]","{""latitude"": 5.332391599999999, ""longitude"": 103.13156289999999, ""gmaps_link"": ""https://www.google.com/maps/place/Uptown+Pulau+Warisan/data=!4m7!3m6!1s0x31b7bffefd49a301:0x7d4f689a6bf54440!8m2!3d5.3323916!4d103.1315629!16s%2Fg%2F11v68cp027!19sChIJAaNJ_f6_tzERQET1a5poT30?authuser=0&hl=en&rclk=1""}","[{""days"": [""mon"", ""wed"", ""thu"", ""fri""], ""times"": [{""start"": ""00:00"", ""end"": ""12:00""}]}, {""days"": [""tue"", ""sat""], ""times"": [{""start"": ""17:00"", ""end"": ""00:00""}]}]"
